Table                  Original       Scaled Type         Factor
-----------------------------------------------------------------
flag_1                      500      1000000 fact           2000
flag_2                      500      1000000 fact           2000
flag_3                      500      1000000 fact           2000
flag_4                      500      1000000 fact           2000
flag_5                      500      1000000 fact           2000
flag_6                      500      1000000 fact           2000
flag_7                      500      1000000 fact           2000
flag_8                      500      1000000 fact           2000
flag_9                      600      1000200 fact           1667
flag_10                     500      1000000 fact           2000
flag_11                     600      1000200 fact           1667
flag_12                     500      1000000 fact           2000
flag_13                     500      1000000 fact           2000
flag_14                     500      1000000 fact           2000
flag_14_sysuser               5            5 dimension         1
flag_15                     500      1000000 fact           2000
flag_15_sysuser               5            5 dimension         1
flag_16                     500      1000000 fact           2000
flag_17                     500      1000000 fact           2000
flag_18                     500      1000000 fact           2000
flag_18_sysuser             183          183 dimension         1
flag_19                     500      1000000 fact           2000
flag_20                     500      1000000 fact           2000
flag_21                     500      1000000 fact           2000
flag_21_sysuser              54           54 dimension         1
flag_22                     500      1000000 fact           2000
flag_23                     500      1000000 fact           2000
flag_24                     500      1000000 fact           2000
flag_25                     500      1000000 fact           2000
flag_26                     500      1000000 fact           2000
flag_27                     591      1000563 fact           1693
flag_28                     550      1000450 fact           1819
flag_28_sysuser              54           54 dimension         1
flag_29                     550      1000450 fact           1819
flag_30                     500      1000000 fact           2000
flag_31                     500      1000000 fact           2000
